Date,Time,Withdrawal,Deposit,Particulars,Reference,Closing_Bal
18-09-2026,14:32:18,,245000,UPI-CR-M1-FORWARD,UPI26918123456003,245000
18-09-2026,14:45:00,100000,,ATM-WD-PUNE-FC-ROAD,ATM26918100001,145000
18-09-2026,14:52:00,100000,,ATM-WD-PUNE-FC-ROAD,ATM26918100002,45000
18-09-2026,15:05:00,5000,,UPI-DR-PETROL-PUMP,UPI26918200001,40000
17-09-2026,10:00:00,,30000,UPI-CR-SALARY,UPI26917100001,30000
17-09-2026,12:00:00,5000,,ATM-WD-PUNE-MG-ROAD,ATM26917100001,25000
16-09-2026,09:00:00,,40000,NEFT-CR-FREELANCE,NEFT269160000091,40000
16-09-2026,15:30:00,10000,,POS-PURCHASE,POS269160001,30000
15-09-2026,11:00:00,,20000,UPI-CR-MISC,UPI26915100001,20000
15-09-2026,14:00:00,8000,,UPI-DR-FOOD,UPI26915200001,12000
14-09-2026,09:30:00,,15000,NEFT-CR,NEFT26914000001,15000
14-09-2026,16:00:00,3000,,UPI-DR,UPI26914200001,12000
